id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
241621,"Bright Double room, LONDON. Zone 3",1267045,Clare,,Wandsworth,51.42865,881.5574286,Private room,45,3,110,04-09-2022,0.87,1,30,4
241975,Private room in London & cultural Islington,1269568,Iki,,Islington,51.56094,887.8391429,Private room,35,2,7,28-11-2021,0.2,2,305,3
243077,Beautiful house in trendy E. London,1275907,Madeleine,,Hackney,51.55314,894.1208571,Entire home/apt,123,5,23,25-07-2022,0.18,3,12,1
244125,ART Gallery Flats x 2 - with AMAZING VIEWS!!!,1270755,Claire,,Hackney,51.52932,900.4025714,Entire home/apt,657,1,302,04-09-2022,2.6,3,319,21
245116,YOUR IDEAL ROOM - IN ZONE 2 !!!,1285864,Miss Salem,,Islington,51.55012,906.6842857,Private room,70,1,21,15-07-2022,0.16,2,339,4
246271,Victoria park Studio,565948,Claire Denise,,Tower Hamlets,51.53299,912.966,Private room,85,4,40,26-08-2022,0.31,3,3,11
249395,Gorgeous house for summer in London,1291505,Vanessa,,Islington,51.55468,919.2477143,Entire home/apt,300,7,2,29-04-2015,0.02,1,0,0
252016,Georgian heaven,1322089,Rachel,,Southwark,51.47615,925.5294286,Private room,60,2,4,12-07-2022,0.08,1,331,3
254996,Homely room in leafy Ealing.,1339807,Tina,,Ealing,51.52339,931.8111429,Private room,38,1,438,24-08-2022,3.32,1,307,80
255961,Beautiful double bedroom 5 minutes from station,1345766,Rino,,Merton,51.420254,938.0928571,Private room,35,1,86,04-09-2022,0.99,2,253,16
255963,Nice fully furnished single bedroom,1345766,Rino,,Merton,51.41973288,944.3745714,Private room,30,1,35,02-09-2022,0.27,2,253,19
263672,Single Room - Clapham / Battersea,1383749,Henrietta,,Wandsworth,51.47022,950.6562857,Private room,45,7,191,13-08-2022,1.48,2,318,26
263822,2 Bedroom London East End Apartment,1384320,Steven,,Newham,51.51854,956.938,Entire home/apt,120,3,40,01-07-2022,0.31,1,270,9
264776,Huge Four Bedroom Apartment,1389063,Sue,,Lewisham,51.44306,963.2197143,Entire home/apt,315,3,38,18-08-2022,0.38,9,271,6
264778,Two Bedroom Newly Refurbished Apartment,1389063,Sue,,Lewisham,51.44359,969.5014286,Entire home/apt,176,3,42,23-08-2022,0.41,9,317,16
264779,Refurbished Two Bedroom Apartment,1389063,Sue,,Lewisham,51.44355,975.7831429,Entire home/apt,164,3,23,06-08-2022,0.26,9,304,7
264780,Spacious refurbished 2 bedroom apt with balcony,1389063,Sue,,Lewisham,51.44333,982.0648571,Entire home/apt,164,3,26,21-08-2022,0.21,9,265,10
264782,One Bedroom Garden Apartment,1389063,Sue,,Lewisham,51.44353,988.3465714,Entire home/apt,110,4,3,01-08-2019,0.06,9,319,0
264783,Four Bedroom Garden Apartment,1389063,Sue,,Lewisham,51.44151,994.6282857,Entire home/apt,274,5,18,20-08-2022,0.17,9,230,7
264789,Refurbished Three Bedroom Apartment with pool,1389063,Sue,,Lewisham,51.44346,1000.91,Entire home/apt,229,3,29,15-08-2022,0.31,9,233,7
268398,Also five minutes to South Bank,979363,Donovan,,Lambeth,51.50287,1007.191714,Private room,49,1,487,04-09-2022,3.72,7,309,52
269065,Cosy room 1 friendly home Ealing W7,1409580,Kate,,Ealing,51.50669,1013.473429,Private room,32,2,44,02-06-2019,0.34,2,137,0
270600,Patio Apartment in London (Twickenham),1416605,Emma,,Richmond upon Thames,51.44311,1019.755143,Entire home/apt,75,4,63,31-08-2022,0.57,2,68,11
271122,Heathrow BNB - Home Away From Home!,1419096,Claudia,,Hillingdon,51.53097,1026.036857,Private room,30,1,7,27-05-2017,0.06,4,0,0
271815,Outstanding location- NOTTING HILL Flat WithGARDEN,444388,Marie,,Kensington and Chelsea,51.5208,1032.318571,Entire home/apt,149,28,41,21-06-2022,0.5,1,167,3
274740,✦Bright Top Floor Sunset View Modern Chelsea apt✦,1436390,Maria,,Hammersmith and Fulham,51.473328,1038.600286,Entire home/apt,160,3,53,11-08-2022,0.62,1,211,6
274918,"Large 1 Bed apartment (A), wi-fi, sleeps 4",381894,Eddy,,Merton,51.42229,1044.882,Entire home/apt,110,4,23,20-07-2022,0.18,23,365,5
275140,"Great location, direct links to London Bridge!",1438437,D.C.,,Lewisham,51.43951,1051.163714,Entire home/apt,120,4,92,18-08-2022,0.7,3,242,20
276082,Bright Clean Double Room-Chingford,1442674,Tosi,,Waltham Forest,51.61782,1057.445429,Private room,50,2,17,11-07-2015,0.14,2,0,0
276888,"Large 2Bedroom  Apartment (B), 4 Beds, sleeps 6",381894,Eddy,,Merton,51.42328,1063.727143,Entire home/apt,150,5,12,18-06-2022,0.09,23,343,3
277580,2 Bedroom  Cottage (E) with garden London,381894,Eddy,,Hounslow,51.49254,1070.008857,Entire home/apt,129,3,15,29-08-2022,0.12,23,342,6
